,lon,lat,value
154,120.543,31.2994,59.201754386
155,120.669,31.3097,60.4607843137
156,120.641,31.3708,36.1632653061
157,120.913,31.96,55.2543859649
158,120.86,32.0005,53.9298245614
159,120.87,32.02,59.4561403509
160,120.94,31.93,64.3596491228
161,120.81,32.0417,54.0438596491
162,119.176,34.5885,62.4736842105
163,119.141,34.5896,63.8245614035
164,119.368,34.7507,53.9649122807
165,119.348,34.6984,58.3859649123
166,117.167,34.2761,71.8596491228
167,117.192,34.2417,69.3070175439
168,117.192,34.3083,76.9210526316
169,117.256,34.2153,67.9736842105
170,117.244,34.2911,80.9736842105
171,117.2933,34.2778,67.5789473684
172,117.166,34.1806,70.5263157895
173,119.46,32.3878,61.9736842105
174,119.404,32.41,61.3859649123
175,119.389,32.3761,59.7631578947
176,119.439,32.4033,56.9035087719
177,120.269,31.4867,57.6140350877
178,120.275,31.6219,55.7368421053
179,120.242,31.5031,63.4035087719
180,120.354,31.5848,58.2192982456
181,120.354,31.5475,66.5789473684
182,120.245,31.5631,64.4649122807
183,120.288,31.6842,60.9122807018
184,119.996,31.7586,64.3596491228
185,119.933,31.7786,66.5964912281
186,119.962,31.8089,65.3859649123
187,120.0393,31.7638,62.0526315789
188,119.935,31.7039,65.4736842105
189,119.905,31.9108,60.3421052632
190,119.68,32.1883,60.9210526316
191,119.491,32.215,62.8070175439
192,119.43,32.1319,62.9210526316
193,119.9,32.4867,71.3684210526
194,119.9219,32.4611,58.9203539823
195,119.882,32.303,60.2543859649
196,119.888,32.4639,65.201754386
197,119.036,33.5981,86.8596491228
198,119.007,33.575,90.4210526316
199,118.989,33.6067,73.4649122807
200,119.135,33.5039,91.0701754386
201,119.0122,33.627,71.8333333333
202,120.118,33.4022,59.0550458716
203,120.156,33.3942,56.1052631579
204,120.129,33.3719,54.0263157895
205,120.225,33.3947,44.1603773585
206,118.2658,33.96,83.298245614
207,118.293,33.9528,60.4035087719
208,118.2442,33.9592,59.6228070175
209,118.3214,33.9506,78.4122807018
210,120.211,30.21,56.3947368421
211,120.063,30.2747,52.298245614
212,119.026,29.635,24.8859649123
213,120.348,30.3058,50.3070175439
214,120.127,30.2456,50.0263157895
215,120.19,30.2692,50.4210526316
216,120.157,30.2897,56.4298245614
217,120.12,30.3119,55.6754385965
218,120.301,30.4183,54.9292035398
219,120.27,30.1819,51.3684210526
220,120.088,30.1808,41.5614035088
221,121.836,29.9108,35.9912280702
222,121.56,29.8208,40.6228070175
223,121.713,29.9572,41.4424778761
224,121.554,29.8906,41.9824561404
225,121.633,29.7736,35.4561403509
226,121.586,29.8633,41.4561403509
227,121.524,29.8506,42.8333333333
228,120.634,28.0089,33.8947368421
